#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 09 30 11 00  90  4.0  5.0   0.9    10    MM  89 1013.5  26.4    MM    MM   MM +1.0    MM
2017 09 30 10 00  80  5.0  7.0   1.0    11    MM  58 1013.4  26.3    MM    MM   MM +0.5    MM
2017 09 30 09 00 110  5.0  6.0   1.0     6    MM  37 1013.0  25.9    MM    MM   MM -0.8    MM
2017 09 30 08 00 110  4.0  6.0   1.2    11    MM  22 1012.5  25.4    MM    MM   MM -1.6    MM
2017 09 30 07 00 130  6.0  7.0   1.2    11    MM  26 1012.9  25.1    MM    MM   MM -1.4    MM
2017 09 30 06 00 130  8.0 10.0   1.1    11    MM  43 1013.8  24.9    MM    MM   MM -1.4    MM
2017 09 30 05 00  80  5.0  6.0   1.1    11    MM  49 1014.1  27.7    MM    MM   MM -1.2    MM
2017 09 30 04 00  70  6.0  7.0   0.9     6    MM  70 1014.3  27.7    MM    MM   MM -0.6    MM
2017 09 30 03 00  70  5.0  7.0   1.0    11    MM  73 1015.2  27.6    MM    MM   MM +1.0    MM
2017 09 30 02 00  80  6.0  7.0   0.9    11    MM  80 1015.3  27.3    MM    MM   MM +1.1    MM
2017 09 30 01 00  50  4.0  5.0   1.0     5    MM  86 1014.9  26.9    MM    MM   MM +1.3    MM
2017 09 30 00 00  80  6.0  8.0   1.2    11    MM  62 1014.2  26.3    MM    MM   MM +1.1    MM
2017 09 29 23 00  80  8.0 11.0   1.2    10    MM  43 1014.2  24.9    MM    MM   MM +1.4    MM
2017 09 29 22 00 110  6.0  8.0   1.0    11    MM  48 1013.6  27.4    MM    MM   MM +0.7    MM
2017 09 29 21 00 120  6.0  8.0   1.0    11    MM  47 1013.1  27.3    MM    MM   MM -0.0    MM
2017 09 29 20 00  50  6.0  8.0   1.0    11    MM  69 1012.8  27.9    MM    MM   MM -0.7    MM
2017 09 29 19 00  50  6.0  7.0   1.0    11    MM  35 1012.9  27.8    MM    MM   MM -1.3    MM
2017 09 29 18 00 100  5.0  6.0   1.1    11    MM  39 1012.9  28.4    MM    MM   MM -2.3    MM
2017 09 29 17 00  90  5.0  6.0   1.1    11    MM  39 1013.5  28.3    MM    MM   MM -1.8    MM
2017 09 29 16 00  90  5.0  6.0   1.1    11    MM  37 1014.2  28.3    MM    MM   MM -1.1    MM
2017 09 29 15 00 100  6.0  7.0   1.0    11    MM  46 1015.2  28.5    MM    MM   MM +0.3    MM
2017 09 29 14 00  90  6.0  8.0   1.1    11    MM   5 1015.3  28.3    MM    MM   MM +1.1    MM
2017 09 29 13 00  80  5.0  6.0    MM    MM    MM  MM 1015.3  28.5    MM    MM   MM +1.6    MM
2017 09 29 12 00  70  5.0  6.0   1.0    11    MM  89 1014.9  28.2    MM    MM   MM +2.0    MM
